,TMDB ID,Title,Release Date,IMDB ID,Rating,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDB Rating,IMDB Votes,Metascore,Rating Dictionary,Type,DVD Release Date,Box Office,Production
53,532903,After Class,2019-12-06,tt7187768,N/A,93 min,"Comedy, Drama",Daniel Schechter,Daniel Schechter,"Justin Long, Fran Drescher, Richard Schiff, Kate Berlant",An NYC professor spends a week re-connecting with his family while defending his reputation over controversial behavior at his college.,English,USA,3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTc3MjIxNDQ5Nl5BMl5BanBnXkFtZTgwMzI3Njc5NzM@._V1_SX300.jpg,5.2,139,,,movie,06 Dec 2019,N/A,Gravitas Ventures
54,458104,Hold On,2019-12-06,tt5421684,N/A,22 min,"Short, Drama, Music",Charlotte Scott-Wilson,"Charlotte Scott-Wilson, Marielot van der Slikke","Charlie Chan Dagelet, Roeland Fernhout, Lidewij Mahler, Hans Dagelet","A young, talented cellist suddenly develops stage fright after one of her cello strings comes lose during an important performance.",Dutch,Netherlands,1 win.,https://m.media-amazon.com/images/M/MV5BOTYxYmY2ZDgtYmVmNC00ZDQ4LWI0MGQtMzQxM2EyODUwZjE1XkEyXkFqcGdeQXVyMjU5MjAwMDU@._V1_SX300.jpg,7.4,74,,,movie,N/A,N/A,N/A
56,512200,Jumanji: The Next Level,2019-12-13,tt7975244,PG-13,123 min,"Action, Adventure, Comedy, Fantasy",Jake Kasdan,"Jake Kasdan, Jeff Pinkner, Scott Rosenberg, Chris Van Allsburg (based on the book: ""Jumanji"" by)","Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BOTVjMmFiMDUtOWQ4My00YzhmLWE3MzEtODM1NDFjMWEwZTRkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,7.0,"61,847",,,movie,N/A,N/A,Sony Pictures
57,664162,A Rebel Born,2019-12-03,tt11202796,N/A,80 min,Action,Christopher Forbes,Lochlainn Seabrook,"William Adams, Jezibell Anat, Karl Bishop, Jerry Chesser","""Braveheart"" meets ""Gods and Generals.""",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOGNhODY3NTYtYmNlZi00ZGJkLWI2ZjQtM2RiMThjY2EyNzM4XkEyXkFqcGdeQXVyMTIxNjQ4OTA@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
58,653151,Les Misérables: The Staged Concert,2019-12-08,tt11229886,Unrated,170 min,Musical,N/A,N/A,N/A,Seen by over 120 million people worldwide one of the world's most popular musicals. Now cinema audiences can experience a live broadcast of the musical phenomenon which broke box office records and sold out its entire 16-week season.,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNGM2NGZhNjEtOGY5Yy00ZGUzLWIwODItMzcwNDQzNDlhM2JiXkEyXkFqcGdeQXVyMDIwOTA4Mg@@._V1_SX300.jpg,8.7,36,,,movie,N/A,N/A,N/A
60,662957,Texas Death Trippin',2019-12-01,tt10772304,Unrated,62 min,"Comedy, Horror",Robbie Lopez,Robbie Lopez (Written by),"Daisy Coleman, Cody Calderas, Bryan Slusher, Bartlett Benjamin",A group of young adult stoners set out on a Roadtrip to a three day music festival.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYWU2ZjdmZjMtNWJiNy00OGJkLTlkOTAtYzI2OTliYjNjZDU5XkEyXkFqcGdeQXVyMTA2MTI0ODQ0._V1_SX300.jpg,7.9,16,,,movie,N/A,N/A,N/A
61,660624,Owl,2019-12-01,tt0373852,N/A,119 min,"Comedy, Drama",Kaneto Shindô,Kaneto Shindô,"Akira Emoto, Daijirô Harada, Mansaku Ikeuchi, Ayumi Itô","A mother and daughter living alone in a small village in deep Japan manage to get out of poverty seducing men, who offer their sexual services and then poisoned with a drink similar to sake.",N/A,Japan,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNTZiNjNhM2MtNTEyYy00ZjE5LWFiNjEtYWY0N2M5ODYyMDAxXkEyXkFqcGdeQXVyMTc0MTEzMzM@._V1_SX300.jpg,6.6,88,,,movie,N/A,N/A,N/A
62,586422,Rag Doll,2019-12-01,tt5990464,N/A,103 min,"Action, Drama",Bailey Kobe,Darren Longley,"Shannon Murray, Stephanie Erb, Dot-Marie Jones, Dante Basco","In an attempt to escape the systemic violence in her life, inexperienced Nora Phoenix enters an MMA tournament with high hopes to save her mother's life and change hers forever. But when ...",English,USA,19 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BNTg0ZmNlMDAtY2MzYS00YWFmLWI4ZmMtODE4ZTJmNGYxMzZkXkEyXkFqcGdeQXVyMjIyNzQwNQ@@._V1_SX300.jpg,7.6,8,,,movie,N/A,N/A,N/A
63,652694,The Man in the Trunk,2019-11-29,tt3293594,Unrated,84 min,"Crime, Drama, Horror, Mystery, Thriller",Marc Hampson,"Aaron Fairley, Marc Hampson, Ronnie Ursenbach (story)","Ace Marrero, Erik Bogh, Vanessa Reynolds, Ryan Schwartzman","A late night knock at the door from an absent friend brings the question - ""I need you to come with me, but I can't tell you where we're going or what we're going to do."" How far would you go to help those you care about?",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTE0NzcyNjktMWY0MS00OTc3LTliNGYtYWNjNWYyYzJlYTZmXkEyXkFqcGdeQXVyMjQ5ODg2ODg@._V1_SX300.jpg,3.2,120,,,movie,N/A,N/A,N/A
65,650278,Almost Home,2019-11-29,tt3597380,G,4 min,"Animation, Short, Comedy, Family, Sci-Fi",Todd Wilderman,Adam Rex (novel),"Steve Martin, Tom McGrath, David Soren","A group of aliens searching for a new planet on which to make home, with little success. Promotional short for Dreamworks Animation's forthcoming feature, Home.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTc1MzU2ZWItODc5ZS00N2Q2LWE5NGQtYmE5NTdkNTZkNWQxXkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX300.jpg,6.4,519,,,movie,N/A,N/A,20th Century Fox
66,546554,Knives Out,2019-11-27,tt8946378,PG-13,131 min,"Comedy, Crime, Drama, Mystery, Thriller",Rian Johnson,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis","A detective investigates the death of a patriarch of an eccentric, combative family.","English, Spanish",USA,Nominated for 1 Oscar. Another 39 wins & 84 nominations.,https://m.media-amazon.com/images/M/MV5BMGUwZjliMTAtNzAxZi00MWNiLWE2NzgtZGUxMGQxZjhhNDRiXkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_SX300.jpg,8.0,"127,616",,,movie,N/A,N/A,Lionsgate
67,551332,The Two Popes,2019-11-27,tt8404614,PG-13,125 min,"Biography, Comedy, Drama",Fernando Meirelles,Anthony McCarten,"Anthony Hopkins, Jonathan Pryce, Juan Minujín, Luis Gnecco","Behind Vatican walls, the conservative Pope Benedict and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.","Latin, English, Spanish, Italian, French, Portuguese, German","UK, Italy",Nominated for 4 Golden Globes. Another 9 wins & 41 nominations.,https://m.media-amazon.com/images/M/MV5BY2RiOTc1YmYtMDk0Yy00ZWI4LTgzN2YtYTg2ZDZmOGIwNTA1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,7.7,"40,362",,,movie,20 Dec 2019,N/A,Netflix
68,536743,Queen & Slim,2019-11-27,tt8722346,R,132 min,Drama,Melina Matsoukas,"Lena Waithe (screenplay by), James Frey (story by), Lena Waithe (story by)","Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine, Chloë Sevigny",A couple's first date takes an unexpected turn when a police officer pulls them over.,English,"Canada, USA",5 wins & 28 nominations.,https://m.media-amazon.com/images/M/MV5BMjIzYmJkZmEtM2RkZS00MDA4LTg4NjAtOGRkN2EwZmFmMWE4XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,7.0,"5,084",,,movie,N/A,N/A,N/A
69,607175,Stay Out Stay Alive,2019-11-26,tt5956016,N/A,85 min,"Horror, Thriller",Dean Yurke,Dean Yurke,"Brie Mattson, Brandon Wardle, Christina July Kim, William Romano-Pugh","Shadowed by a haunting presence in the redwood forest, five young hikers discover an abandoned goldmine dating back to the Gold Rush and descend into madness and greed as the pursuit of easy riches consumes them.",English,USA,12 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BM2JhMWFmM2MtMGZmZS00NTQ5LWE0YTUtYzkxNzI1ZDdmODI1XkEyXkFqcGdeQXVyMjkwNTcwNw@@._V1_SX300.jpg,3.7,436,,,movie,N/A,N/A,N/A
70,637963,Never Surrender: A Galaxy Quest Documentary,2019-11-26,tt11044122,N/A,95 min,Documentary,Jack Bennett,N/A,"Tim Allen, Greg Berlanti, Elizabeth Cantillon, Enrico Colantoni","Filmmakers and stars discuss the filming and social effects of Galaxy Quest, a comedic take-off of Star Trek, with brilliant commentary not only on the Star Trek series but on the real-life actors themselves.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWM5NzVlN2ItYWRiNC00YjQ3LTk1NWYtOGFmNTQwMTFkMWMwXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
72,663033,The Fridge,2019-11-24,tt0426692,N/A,N/A,Music,N/A,N/A,Neil Cole,N/A,English,UK,N/A,N/A,7.0,8,,,series,,,
73,566220,Shooting the Mafia,2019-11-22,tt9358256,N/A,94 min,"Documentary, Biography",Kim Longinotto,N/A,Letizia Battaglia,Italian photographer Letizia Battaglia spends her career documenting the life and crimes of the Mafia.,English,Ireland,2 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BYzViZTNjYWUtM2E5Ni00NDIyLWE2MzItZjVjYTY4YzQ3OGU5XkEyXkFqcGdeQXVyMjUzMTYzMDI@._V1_SX300.jpg,7.0,195,,,movie,N/A,N/A,Cohen Media Group
74,412061,Age Out,2019-11-22,tt5342090,PG-13,91 min,"Crime, Drama",A.J. Edwards,A.J. Edwards,"Tye Sheridan, Imogen Poots, Caleb Landry Jones, Jeffrey Wright","Fresh out of foster care at age 18, a young drifter turns to petty crime to survive, and discovers an impossible love in an unlikely friend.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTViMWFhNjEtODgxMy00MWQ0LWI0M2MtYTdhNTE5NWM3NGFjXkEyXkFqcGdeQXVyNTUyMzY1MDI@._V1_SX300.jpg,6.1,287,,,movie,N/A,N/A,OnBuzz
75,552178,Dark Waters,2019-11-22,tt9071322,PG-13,126 min,"Biography, Drama, History, Thriller",Todd Haynes,"Matthew Michael Carnahan, Mario Correa, Nathaniel Rich (magazine article)","Anne Hathaway, Mark Ruffalo, Tim Robbins, Bill Pullman",A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,English,USA,4 nominations.,https://m.media-amazon.com/images/M/MV5BODQ0M2Y5M2QtZGIwMC00MzJjLThlMzYtNmE3ZTMzZTYzOGEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,7.6,"3,906",,,movie,N/A,N/A,N/A
76,501907,A Beautiful Day in the Neighborhood,2019-11-22,tt3224458,PG,109 min,"Biography, Drama",Marielle Heller,"Tom Junod (Inspired by the article ""Can You Say ... Hero"" by), Noah Harpster, Micah Fitzerman-Blue","Tom Hanks, Matthew Rhys, Chris Cooper, Susan Kelechi Watson",Based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod.,English,"China, USA",Nominated for 1 Golden Globe. Another 1 win & 45 nominations.,https://m.media-amazon.com/images/M/MV5BYTc1OWFmZDYtNDkzMy00ZjM2LTkxZDItM2E3ZTg3NTE1ZWE2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,7.7,"13,297",,,movie,N/A,N/A,Sony Pictures
77,489932,All Rise,2019-11-22,tt10329042,Not Rated,44 min,Drama,N/A,Greg Spottiswood,"Simone Missick, Wilson Bethel, Jessica Camacho, J. Alex Brinson","A look at the personal and professional lives of the judges, lawyers, clerks, bailiffs and cops who work at an L.A. County courthouse.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYTk5ZjI0M2MtYjQ5Ny00OWJmLWExYWEtNjRlMTdkNjYwMGIzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.4,"1,727",,,series,,,
78,535308,Hala,2019-11-22,tt6348410,R,94 min,Drama,Minhal Baig,Minhal Baig (written for the screen by),"Geraldine Viswanathan, Jack Kilmer, Gabriel Luna, Purbi Joshi",Muslim teenager Hala copes with the unraveling of her family as she comes into her own.,"English, Urdu",USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BYmYxNzk2ZmMtNTEzMi00N2M3LWIxMTktNTc2ZGMyYmM2NjQ4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,5.7,895,,,movie,N/A,N/A,Apple TV+
79,567598,Greed,2020-02-21,tt0015881,Not Rated,140 min,"Drama, Thriller, Western",Erich von Stroheim,"June Mathis (screen adaptation and scenario), Erich von Stroheim (screen adaptation and scenario), Frank Norris (from the American classic ""McTeague"" by)","Zasu Pitts, Gibson Gowland, Jean Hersholt, Dale Fuller",The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BNzFhZWQ1MjgtYTNmNy00ZjdhLWEwZDctMzJkYzE5YTQwNjIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,8.1,"8,406",,,movie,N/A,N/A,Warner Home Video
80,640882,3022,2019-11-22,tt9465600,R,91 min,Sci-Fi,John Suits,Ryan Binaco,"Omar Epps, Kate Walsh, Miranda Cosgrove, Enver Gjokaj",A group of astronauts living in the haunting emptiness of deep space awake to find earth has suffered an extinction level event.,"English, French",USA,N/A,https://m.media-amazon.com/images/M/MV5BNWNhMDdiYzktMjQzNy00NGYwLWIwMTQtMmFiNzZkZGRjOTI3XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,4.3,"1,114",,,movie,N/A,N/A,N/A
81,611914,The Courier,2019-11-22,tt0995845,R,95 min,"Action, Crime, Drama, Mystery, Thriller",Hany Abu-Assad,"Brannon Coombs, Pete Dris","Jeffrey Dean Morgan, Josie Ho, Til Schweiger, Miguel Ferrer",A specialist carrier is hired to deliver a mysterious case to the underworld's most dangerous hitman.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjE5OTU1Mzc0OV5BMl5BanBnXkFtZTgwNDk1NjI2MDE@._V1_SX300.jpg,4.5,"4,334",,,movie,09 Oct 2012,N/A,TC Productions
82,649524,Behind the Trees,2019-11-21,tt8370274,N/A,N/A,"Horror, Mystery, Thriller",Vikram Jayakumar,"Vikram Jayakumar, Arjun Grover","Vanessa Curry, Sahil Shroff, Subrat Dutta, Tvisha Seema","While on a romantic getaway in the Indian wilderness, a couple from Los Angeles accidentally witnesses the haunting exorcism of an 11-year old girl. They decide to rescue her.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTQ1NTU3NjUtYjQ1OC00M2FiLWFkZjAtZjY5YjMyOTRlMTc3XkEyXkFqcGdeQXVyMjc4ODUyNTI@._V1_SX300.jpg,6.0,72,,,movie,N/A,N/A,N/A
83,330457,Frozen II,2019-11-22,tt4520988,PG,103 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Chris Buck, Jennifer Lee","Jennifer Lee (screenplay by), Jennifer Lee (story by), Chris Buck (story by), Kristen Anderson-Lopez (story by), Robert Lopez (story by), Marc Smith (story by)","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff","Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",English,USA,Nominated for 2 Golden Globes. Another 2 wins & 42 nominations.,https://m.media-amazon.com/images/M/MV5BMjA0YjYyZGMtN2U0Ni00YmY4LWJkZTItYTMyMjY3NGYyMTJkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,7.2,"43,674",,,movie,25 Feb 2020,N/A,Walt Disney Pictures
84,588064,The Fare,2019-11-19,tt7293920,N/A,82 min,"Mystery, Romance, Thriller",D.C. Hamilton,Brinna Kelly,"Gino Anthony Pesi, Brinna Kelly, Jason Stuart, Jon Jacobs","A taxi driver finds himself trapped in a time loop. He picks up a pretty woman in a rural area at night. Later she disappears. The loop starts over, when he switches the meter back to vacant.",English,USA,4 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BYWZjOWE1NTctNjk4MS00NDRlLTkxNmYtNGVlYzM1OTE3ZmJiXkEyXkFqcGdeQXVyNDQzMjI2OTU@._V1_SX300.jpg,5.6,232,,,movie,19 Nov 2019,N/A,N/A
86,652340,A Haunting on Brockway Street,2019-11-15,tt11305096,N/A,132 min,Documentary,Steven 'Prozak' Shippy,N/A,"Jamie Brett, Steve Gonsalves, Joshua Kuchta","In 2007, the Braley Family decided to rescue an abandoned and dilapidated Civil War Era home in historic Saginaw, Michigan. Despite the overwhelming need for repair, the Braley's saw ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTRmMDkxNGYtZTVmMy00N2IwLWEyYzYtYjc0NjdjZDk1ZDdhXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,5.4,93,,,movie,N/A,N/A,N/A
87,533444,Waves,2019-11-15,tt8652728,R,135 min,"Drama, Romance, Sport",Trey Edward Shults,Trey Edward Shults,"Taylor Russell, Kelvin Harrison Jr., Alexa Demie, Bill Wise","Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.",English,USA,11 wins & 31 nominations.,https://m.media-amazon.com/images/M/MV5BMWE2OTdiY2MtM2ViNy00NmExLWIxZjYtYTVkNGJkNzgwYjVmXkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_SX300.jpg,8.0,"2,541",,,movie,N/A,N/A,A24
88,635885,Feast of the Seven Fishes,2019-11-15,tt7846056,N/A,99 min,Comedy,Robert Tinnell,Robert Tinnell,"Skyler Gisondo, Madison Iseman, Josh Helman, Ray Abruzzo","A slice of life story that follows a large Italian family on Christmas Eve as they prepare for the traditional Feast of the Seven Fishes, reminisce about the past, and seek love in the future.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BY2ZiYTA3OGMtMjBkOS00MDczLTkzODUtNDA0NGY1ZGM3M2JjXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,6.6,309,,,movie,N/A,N/A,N/A
89,560192,Grand Isle,2019-11-15,tt8380776,N/A,97 min,"Action, Thriller",Stephen S. Campanelli,"Iver William Jallah, Rich Ronat","Nicolas Cage, KaDee Strickland, Luke Benward, Kelsey Grammer",A young father is charged for murder and must prove his innocence through recalling a very twisted and dark night of events.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDAyN2M2OTgtMjc5Ni00MDJiLTk0OWEtMWI3MDA0NzNjZmRkXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,4.6,698,,,movie,N/A,N/A,N/A
90,492002,Radioflash,2019-11-15,tt7288408,Unrated,103 min,"Drama, Thriller",Ben McPherson,Ben McPherson,"Brighton Sharbino, Dominic Monaghan, Will Patton, Fionnula Flanagan","When a nuclear device causes an electromagnetic pulse that kills power to more than 200 million people, a teenage girl must help lead her family to survival in a dark new world.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYTA1MGYyZjYtNzBhMC00YjcwLTk0Y2MtNmFmMzUxYmIwZDBiXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,4.5,474,,,movie,N/A,N/A,N/A
91,659418,Heritage,2019-11-15,tt0150897,N/A,94 min,"Drama, History",Charles Chauvel,Charles Chauvel,"Frank Harvey, Franklyn Bennett, Margot Rhys, Mary Maguire",Follows the life experiences of the Morrison and Parry families as they establish themselves within a new and challenging colony in Sydney. Facing the many trials and tribulations of ...,English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BMTZjMTcwMDgtMzhjNy00YzMwLWE0MjItOTg2MTk2YWM2ZGVhXkEyXkFqcGdeQXVyMTgwMzg4NzY@._V1_SX300.jpg,5.0,16,,,movie,N/A,N/A,N/A
92,639007,The Portal,2019-11-15,tt3009714,N/A,11 min,"Short, Comedy, Fantasy, Sci-Fi",Jonathan Williams,Jonathan Williams,"Tahmoh Penikett, Erin Karpluk, Penelope Park, David Oliver Mes","A dimension-traveling wizard gets stuck in the 21st century because cell-phone radiation interferes with his magic. With his home world on the brink of war, he seeks help from a jaded ...",English,Canada,1 nomination.,https://m.media-amazon.com/images/M/MV5BOTk2NTMxYzMtMjY5ZC00YmQxLTk3YTYtY2EzNGRhZmMxNzNkXkEyXkFqcGdeQXVyNjI5OTgyMjA@._V1_SX300.jpg,7.9,428,,,movie,N/A,N/A,N/A
93,633873,Scandalous,2019-11-15,tt0780587,N/A,105 min,"Comedy, Musical",Álvaro Begines,"Álvaro Begines (screenplay), Miguel A. Carmona (screenplay), Marcos Carnevale (screenplay collaborator), José Antonio Félez (screenplay collaborator)","Carlos Álvarez-Nóvoa, Raúl Arévalo, Àngels Aymar, Pepe Begines",A refreshing and extremely hilarious musical where a family who seems ordinary turns out to be highly dysfunctional. Three women from three generations all decide to abandon their homes on ...,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BMTE4ZmYwZjItZjY3ZC00NjA3LTllMWEtNDI1NzQxNzI2MDNmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,6.0,219,,,movie,N/A,N/A,Alta Films
94,580563,The Hottest August,2019-11-15,tt9761064,N/A,94 min,Documentary,Brett Story,N/A,Clare Coulter,Ordinary people in New York are asked to talk about their lives and their hopes for the future in a time marked by political division and climate change.,English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BMzQ0NjY2ZWUtNTAxMi00ZGRlLTgwYTItZTk5NWRhMzcyMjQ5XkEyXkFqcGdeQXVyNjU4Njk1NjA@._V1_SX300.jpg,6.5,43,,,movie,N/A,N/A,Grasshopper Film
95,523646,Lost in America,2019-11-15,tt0089504,R,91 min,Comedy,Albert Brooks,"Albert Brooks, Monica Mcgowan Johnson","Albert Brooks, Julie Hagerty, Sylvia Farrel, Tina Kincaid","A husband and wife in their 30s decide to quit their jobs, live as free spirits and cruise America in a Winnebago.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNjU4ZTQ5NjktZGFlYy00NTFkLTkwZTItZjE1NDgwMmYwZjljXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.0,"6,737",,,movie,03 Apr 2001,N/A,Warner Bros. Pictures
96,458897,Charlie's Angels,2019-11-15,tt0160127,PG-13,98 min,"Action, Adventure, Comedy, Crime, Thriller",McG,"Ryan Rowe, Ed Solomon, John August, Ivan Goff (TV series), Ben Roberts (TV series)","Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray","Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.","English, German, Finnish, Japanese, Cantonese","USA, Germany",15 wins & 30 nominations.,https://m.media-amazon.com/images/M/MV5BMGI1NTM5MTItNDcxMS00YTIwLTg1NjUtNzE5ZGE5NDkxMmU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.5,"168,490",,,movie,11 Dec 2001,"$124,420,707",Columbia Pictures
98,359724,Ford v Ferrari,2019-11-15,tt1950186,PG-13,152 min,"Action, Biography, Drama, Sport",James Mangold,"Jez Butterworth, John-Henry Butterworth, Jason Keller","Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe","American car designer Carroll Shelby and driver Ken Miles battle corporate interference, the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966.","English, Italian, French, Japanese","USA, France",Nominated for 4 Oscars. Another 18 wins & 63 nominations.,https://m.media-amazon.com/images/M/MV5BYzcyZDNlNDktOWRhYy00ODQ5LTg1ODQtZmFmZTIyMjg2Yjk5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,8.2,"96,322",,,movie,N/A,N/A,20th Century Fox
99,504585,Little Joe,2019-12-06,tt9204204,Not Rated,105 min,"Drama, Sci-Fi",Jessica Hausner,"Géraldine Bajard, Jessica Hausner","Emily Beecham, Ben Whishaw, Kerry Fox, Kit Connor","Alice, a single mother, is a dedicated senior plant breeder at a corporation engaged in developing new species. Against company policy, she takes one home as a gift for her teenage son, Joe.",English,"UK, Austria, Germany",2 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BODBlOGExYTUtNGIzZi00NjllLTkwYjEtMmVlZDg3MWIzZWZhXkEyXkFqcGdeQXVyNTYyNTY4ODQ@._V1_SX300.jpg,5.9,"1,712",,,movie,N/A,N/A,Magnolia Pictures
